epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4625.81,0.26372,0.29977,0.84041,0.99789,1,0.995,0.98379,0.22849,0.1762,0.75475,0.000848969,0.000848969,0.000848969
43,4748.59,0.26173,0.3212,0.84544,0.98846,0.99882,0.995,0.98597,0.20875,0.16561,0.74309,0.000834822,0.000834822,0.000834822
44,4850.04,0.25245,0.29896,0.84659,0.99789,1,0.995,0.98866,0.21382,0.15491,0.74681,0.000820675,0.000820675,0.000820675
45,4933.34,0.2565,0.28917,0.84251,0.99771,1,0.995,0.99028,0.20091,0.15908,0.73851,0.000806528,0.000806528,0.000806528
46,5022.91,0.25536,0.29792,0.84349,0.99757,1,0.995,0.98341,0.22029,0.16777,0.74627,0.00079238,0.00079238,0.00079238
47,5115.64,0.24691,0.27418,0.83888,0.99722,1,0.995,0.98778,0.1983,0.15366,0.74207,0.000778233,0.000778233,0.000778233
48,5256.58,0.25797,0.29338,0.84515,0.9876,0.98916,0.995,0.99044,0.20084,0.17871,0.74134,0.000764086,0.000764086,0.000764086
49,5356.34,0.24644,0.29151,0.84342,0.99747,1,0.995,0.98294,0.21546,0.15833,0.75813,0.000749939,0.000749939,0.000749939
50,5519.7,0.24711,0.29209,0.84244,0.97462,0.9778,0.995,0.98928,0.19432,0.18428,0.74406,0.000735792,0.000735792,0.000735792
51,5615.13,0.2428,0.27249,0.84405,0.98416,0.99753,0.995,0.9858,0.20658,0.15622,0.74153,0.000721645,0.000721645,0.000721645
52,5760.21,0.24628,0.26834,0.84211,0.99799,1,0.995,0.99155,0.19076,0.14479,0.73807,0.000707498,0.000707498,0.000707498
53,5863.23,0.24996,0.28884,0.84438,0.99722,1,0.995,0.99015,0.1889,0.14372,0.73958,0.000693351,0.000693351,0.000693351
54,5963.15,0.23475,0.27844,0.83874,0.99726,1,0.995,0.98656,0.19985,0.13944,0.73861,0.000679204,0.000679204,0.000679204
55,6077.91,0.23362,0.26206,0.84103,0.98737,0.98934,0.995,0.98711,0.19976,0.15277,0.73618,0.000665057,0.000665057,0.000665057
56,6228.66,0.23736,0.26854,0.84252,0.99565,1,0.995,0.98699,0.19551,0.1456,0.73688,0.000650909,0.000650909,0.000650909
57,6324.09,0.22824,0.26397,0.83501,0.99762,1,0.995,0.98688,0.18489,0.13094,0.73481,0.000636762,0.000636762,0.000636762
58,6403.21,0.22761,0.26296,0.83973,0.99034,0.97371,0.99367,0.98532,0.18942,0.21652,0.73493,0.000622615,0.000622615,0.000622615
59,6552.02,0.22681,0.27059,0.84195,0.99725,1,0.995,0.98852,0.18099,0.13303,0.73652,0.000608468,0.000608468,0.000608468
60,6682.15,0.22227,0.24271,0.83236,0.99796,1,0.995,0.98843,0.188,0.14335,0.74003,0.000594321,0.000594321,0.000594321
61,6782.91,0.23163,0.25602,0.84074,0.98951,1,0.995,0.98849,0.18788,0.15099,0.73279,0.000580174,0.000580174,0.000580174
62,6896.85,0.22525,0.25537,0.84047,0.99738,1,0.995,0.98616,0.18727,0.14189,0.74023,0.000566027,0.000566027,0.000566027
63,7003.96,0.22625,0.24807,0.8326,0.99805,1,0.995,0.99151,0.19111,0.14397,0.7348,0.00055188,0.00055188,0.00055188
64,7121.72,0.22298,0.24579,0.84217,0.9974,1,0.995,0.99107,0.17724,0.13071,0.7334,0.000537733,0.000537733,0.000537733
65,7228.91,0.21589,0.23342,0.83309,0.99797,1,0.995,0.98899,0.18251,0.13174,0.7349,0.000523586,0.000523586,0.000523586
66,7325.68,0.21334,0.22326,0.83647,0.98253,0.99902,0.995,0.98872,0.17425,0.14364,0.73401,0.000509438,0.000509438,0.000509438
67,7437.35,0.21589,0.23801,0.83488,0.99766,1,0.995,0.9917,0.17551,0.12966,0.72949,0.000495291,0.000495291,0.000495291
68,7571.42,0.21769,0.23486,0.83707,0.99776,1,0.995,0.98903,0.17495,0.12714,0.73131,0.000481144,0.000481144,0.000481144
69,7657.22,0.21418,0.23165,0.83087,0.99765,1,0.995,0.99272,0.17444,0.12202,0.73133,0.000466997,0.000466997,0.000466997
70,7768.44,0.21787,0.23398,0.83443,0.99794,1,0.995,0.9917,0.17797,0.1296,0.7306,0.00045285,0.00045285,0.00045285
71,7857.47,0.20942,0.22648,0.83261,0.99774,1,0.995,0.99319,0.17264,0.11796,0.73202,0.000438703,0.000438703,0.000438703
72,7999.93,0.20507,0.22123,0.83307,0.99768,1,0.995,0.99205,0.18184,0.12478,0.73463,0.000424556,0.000424556,0.000424556
73,8075.13,0.20648,0.21852,0.83434,0.98742,0.98932,0.995,0.99023,0.16994,0.14417,0.72831,0.000410409,0.000410409,0.000410409
74,8165.93,0.20563,0.21276,0.84109,0.99786,1,0.995,0.99042,0.17313,0.12153,0.73213,0.000396262,0.000396262,0.000396262
75,8298.97,0.19717,0.21481,0.83253,0.9975,1,0.995,0.9903,0.17479,0.12129,0.73204,0.000382115,0.000382115,0.000382115
76,8416.92,0.201,0.22416,0.8336,0.9968,1,0.995,0.99097,0.17665,0.13296,0.73456,0.000367967,0.000367967,0.000367967
77,8486.23,0.20367,0.22585,0.83091,0.99817,1,0.995,0.98943,0.16666,0.11543,0.72882,0.00035382,0.00035382,0.00035382
