epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,264.608,0.4049,1.64911,0.90209,0.67621,0.72396,0.7269,0.64792,0.51876,3.34862,0.88282,0.000468772,0.000468772,0.000468772
2,530.7,0.4596,0.89369,0.89479,0.53225,0.58325,0.5008,0.35485,0.98053,2.24146,1.41696,0.000935749,0.000935749,0.000935749
3,935.263,0.49025,0.87906,0.91488,0.43517,0.434,0.27466,0.17898,1.03897,3.75471,1.53728,0.00139329,0.00139329,0.00139329
4,1398.34,0.49489,0.83638,0.90482,0.4689,0.58117,0.45867,0.38622,0.76205,2.81508,1.10779,0.00138656,0.00138656,0.00138656
